Timestamp	ID	Payload	Payload Length	Type	Name
0,138844	192	00  00  00  00  01  00  00  00	8	S	
0,141488	173	00  00  00  00  00  00  00  00	8	S	
0,141972	172	00  00  FB  FF  7D  C3  05  00	8	S	
0,142463	171	00  00  00  00  00  08  00  00	8	S	
0,142935	168	47  00  48  22  02  00  F6  FF	8	S	
0,143419	167	0C  00  00  00  7A  FF  4B  FF	8	S	
0,143902	166	FD  FF  F9  FF  FD  FF  00  00	8	S	
0,144382	165	09  02  00  00  00  00  DA  FB	8	S	
0,144882	164	00  00  00  00  00  00  00  00	8	S	
0,145342	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,145845	192	00  00  00  00  01  00  00  00	8	S	
0,148840	192	00  00  00  00  01  00  00  00	8	S	
0,150652	173	00  00  00  00  00  00  00  00	8	S	
0,151140	172	00  00  00  00  80  C3  05  00	8	S	
0,151632	171	00  00  00  00  00  08  00  00	8	S	
0,152103	168	47  00  48  22  FE  FF  01  00	8	S	
0,152591	167	0C  00  00  00  7F  FF  4B  FF	8	S	
0,153071	166	FA  FF  FA  FF  FD  FF  00  00	8	S	
0,153555	165	08  02  00  00  00  00  DA  FB	8	S	
0,154055	164	00  00  00  00  00  00  00  00	8	S	
0,154518	163	ED  01  D9  01  ED  01  EC  01	8	S	
0,155022	192	00  00  00  00  01  00  00  00	8	S	
0,158836	192	00  00  00  00  01  00  00  00	8	S	
0,159561	173	00  00  00  00  00  00  00  00	8	S	
0,160048	172	00  00  F7  FF  83  C3  05  00	8	S	
0,160540	171	00  00  00  00  00  08  00  00	8	S	
0,161024	168	47  00  48  22  00  00  FF  FF	8	S	
0,161511	167	0C  00  00  00  7A  FF  43  FF	8	S	
0,162007	166	00  00  00  00  FD  FF  00  00	8	S	
0,162491	165	08  02  00  00  00  00  DA  FB	8	S	
0,162991	164	00  00  00  00  00  00  00  00	8	S	
0,163458	163	ED  01  D8  01  ED  01  EC  01	8	S	
0,163962	192	00  00  00  00  01  00  00  00	8	S	
0,168562	173	02  00  00  00  00  00  00  00	8	S	
0,169042	172	00  00  03  00  86  C3  05  00	8	S	
0,169534	171	00  00  00  00  00  08  00  00	8	S	
0,170005	168	47  00  48  22  FE  FF  F8  FF	8	S	
0,170485	167	11  00  00  00  8B  FF  4B  FF	8	S	
0,170973	166	FA  FF  FF  FF  FA  FF  00  00	8	S	
0,171453	165	09  02  00  00  00  00  DA  FB	8	S	
0,171952	164	00  00  00  00  00  00  00  00	8	S	
0,172420	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,172924	192	00  00  00  00  01  00  00  00	8	S	
0,173840	192	00  00  00  00  01  00  00  00	8	S	
0,177564	173	00  00  00  00  00  00  00  00	8	S	
0,178055	172	00  00  04  00  89  C3  05  00	8	S	
0,178547	171	00  00  00  00  00  08  00  00	8	S	
0,179027	168	47  00  48  22  FB  FF  07  00	8	S	
0,179507	167	0C  00  00  00  7A  FF  3A  FF	8	S	
0,179998	166	02  00  00  00  FB  FF  00  00	8	S	
0,180482	165	08  02  00  00  00  00  DA  FB	8	S	
0,180982	164	00  00  00  00  00  00  00  00	8	S	
0,181449	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,181953	192	00  00  00  00  01  00  00  00	8	S	
0,183840	192	00  00  00  00  01  00  00  00	8	S	
